序号,城市,区域,详细区域,区域分类,标题,链接,面积,朝向,房间信息,价格(元/月),标签,品牌,图片链接,房源编码,抓取时间
1919,杭州,拱墅区,拱墅区-建国北路-环城东路298-311号,拱墅区,整租·环城东路298-311号 2室2厅 南,https://hz.lianjia.com/zufang/HZ2063265954522988544.html,60.28㎡,南,2室2厅1卫,3600,精装,链家,"https://image1.ljcdn.com/110000-inspection/pc1_z7nvWgG93.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ2063265954522988544,2025/12/9 23:09
1920,杭州,拱墅区,仅剩1间,仅剩1间,独栋·朗诗寓 瓜山社区 【免押金】朝南吧台复式 可短租可月付无中介费 1室1厅,https://hz.lianjia.com/apartment/37737.html,39.00㎡,1间在租,1室1厅1卫,2080,精装,朗诗寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,628973,2025/12/9 23:09
1921,杭州,拱墅区,仅剩2间,仅剩2间,独栋·朗诗寓 瓜山六店-国风诗韵 【免押金】顺丰中心可短租无中介费 可月付 开间,https://hz.lianjia.com/apartment/37738.html,30.00㎡,2间在租,1室0厅1卫,1680-1880,精装,朗诗寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,387498,2025/12/9 23:09
1922,杭州,拱墅区,拱墅区-申花-景致公寓,拱墅区,整租·景致公寓 3室1厅 南,https://hz.lianjia.com/zufang/HZ2063491722142285824.html,89.00㎡,南,3室1厅1卫,3600,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2063491722142285824,2025/12/9 23:09
1923,杭州,拱墅区,仅剩5间,仅剩5间,独栋·朗诗寓 瓜山四店-绿色星光 【免押金】近运河上街特价榻榻米可月付 开间,https://hz.lianjia.com/apartment/38211.html,18.00㎡,5间在租,1室0厅1卫,1388-1460,精装,朗诗寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,466639,2025/12/9 23:09
1924,杭州,拱墅区,拱墅区-朝晖-朝晖三区,拱墅区,整租·朝晖三区 2室1厅 南,https://hz.lianjia.com/zufang/HZ2063498152278753280.html,42.00㎡,南,2室1厅1卫,2000,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2063498152278753280,2025/12/9 23:09
1925,杭州,拱墅区,拱墅区-半山-广宇万科公园里,拱墅区,整租·广宇万科公园里 3室2厅 南,https://hz.lianjia.com/zufang/HZ2071511855318171648.html,89.00㎡,南,3室2厅1卫,4100,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2071511855318171648,2025/12/9 23:09
1926,杭州,拱墅区,仅剩1间,仅剩1间,独栋·朗诗寓 瓜山未来社区 【免押金】近万达特价整租一室一卫 可月付无中介费可短租 开间,https://hz.lianjia.com/apartment/38233.html,22.00㎡,1间在租,1室0厅1卫,1675,精装,朗诗寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,395587,2025/12/9 23:09
1927,杭州,拱墅区,拱墅区-体育场路-田家桥,拱墅区,整租·田家桥 2室2厅 南,https://hz.lianjia.com/zufang/HZ2071497541186224128.html,80.00㎡,南,2室2厅1卫,4500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2071497541186224128,2025/12/9 23:09
1928,杭州,拱墅区,仅剩2间,仅剩2间,独栋·朗诗寓 瓜山一店-手游圈 【免押金】拱墅万达特价朝南loft可短租可月付 1室1厅,https://hz.lianjia.com/apartment/41349.html,40.00㎡,2间在租,1室1厅1卫,1900,精装,朗诗寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,387068,2025/12/9 23:09
1929,杭州,拱墅区,拱墅区-流水苑-流水苑,拱墅区,合租·流水苑 3居室 西卧,https://hz.lianjia.com/zufang/HZ2063556287387402240.html,32.00㎡,西,3室0厅0卫,1500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2063556287387402240,2025/12/9 23:09
1930,杭州,拱墅区,拱墅区-石桥-天堂园轴承宿舍,拱墅区,整租·天堂园轴承宿舍 3室1厅 南,https://hz.lianjia.com/zufang/HZ2075193079601561600.html,62.00㎡,南,3室1厅1卫,2500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2075193079601561600,2025/12/9 23:09
1931,杭州,拱墅区,仅剩1间,仅剩1间,独栋·朗诗寓 瓜山八店-烘焙屋 【免押金】近地铁特价榻榻米整租可月付 开间,https://hz.lianjia.com/apartment/41483.html,18.00㎡,1间在租,1室0厅1卫,1440,精装,朗诗寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,387808,2025/12/9 23:09
1932,杭州,拱墅区,拱墅区-三塘-香栖天第,拱墅区,整租·香栖天第 3室2厅 南,https://hz.lianjia.com/zufang/HZ2064599149872939008.html,107.00㎡,南,3室2厅2卫,6208,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2064599149872939008,2025/12/9 23:09
1933,杭州,拱墅区,仅剩2间,仅剩2间,独栋·朗诗寓 瓜山北苑-2店 【免押金】毕业季上下铺整租宿舍房 可短租 开间,https://hz.lianjia.com/apartment/42866.html,20.00㎡,2间在租,1室0厅1卫,1480,精装,朗诗寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,387703,2025/12/9 23:09
1934,杭州,拱墅区,仅剩2间,仅剩2间,独栋·朗诗寓 瓜山北苑-3店 朝南精装采光充带庭院一居室可月付 1室1厅,https://hz.lianjia.com/apartment/42868.html,45.00㎡,2间在租,1室1厅1卫,1950,精装,朗诗寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,387315,2025/12/9 23:09
1935,杭州,拱墅区,拱墅区-朝晖-朝晖八区,拱墅区,整租·朝晖八区 3室1厅 南,https://hz.lianjia.com/zufang/HZ2076157107282903040.html,84.11㎡,南,3室1厅1卫,4500,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2076157107282903040,2025/12/9 23:09
1936,杭州,拱墅区,拱墅区-万达广场-风尚望和湾,拱墅区,整租·风尚望和湾 4室2厅 南,https://hz.lianjia.com/zufang/HZ2075835594646224896.html,148.05㎡,南,4室2厅2卫,8200,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2075835594646224896,2025/12/9 23:09
1937,杭州,拱墅区,拱墅区-万达广场-方正御星,拱墅区,整租·方正御星 3室1厅 南/北,https://hz.lianjia.com/zufang/HZ2073253037354254336.html,88.23㎡,南 北,3室1厅1卫,5800,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2073253037354254336,2025/12/9 23:09
1938,杭州,拱墅区,拱墅区-石桥-景翠公寓,拱墅区,整租·景翠公寓 2室1厅 南,https://hz.lianjia.com/zufang/HZ2064678900671184896.html,85.90㎡,南,2室1厅1卫,3500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2064678900671184896,2025/12/9 23:09
1939,杭州,拱墅区,拱墅区-石桥-保利都和轩,拱墅区,整租·保利都和轩 3室2厅 南,https://hz.lianjia.com/zufang/HZ2075516762157219840.html,111.00㎡,南,3室2厅1卫,5700,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2075516762157219840,2025/12/9 23:09
1940,杭州,拱墅区,仅剩2间,仅剩2间,独栋·朗诗寓 瓜山北苑-2店 【免押金】近地铁特价朝南整租月付 可短租无中介费 开间,https://hz.lianjia.com/apartment/42866.html,22.00㎡,2间在租,1室0厅1卫,1500,精装,朗诗寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,387701,2025/12/9 23:09
1941,杭州,拱墅区,拱墅区-朝晖-朝晖六区,拱墅区,合租·朝晖六区 3居室 南卧,https://hz.lianjia.com/zufang/HZ2064327866597769216.html,15.00㎡,南,3室1厅1卫,1600,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2064327866597769216,2025/12/9 23:09
1942,杭州,拱墅区,拱墅区-和睦-都景公寓,拱墅区,整租·都景公寓 3室1厅 南,https://hz.lianjia.com/zufang/HZ2073279330976268288.html,89.00㎡,南,3室1厅1卫,4600,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2073279330976268288,2025/12/9 23:09
1943,杭州,拱墅区,拱墅区-桥西-锦绣文澜阁,拱墅区,整租·锦绣文澜阁 2室2厅 南,https://hz.lianjia.com/zufang/HZ2064657672518500352.html,55.12㎡,南,2室2厅1卫,3300,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2064657672518500352,2025/12/9 23:09
1944,杭州,拱墅区,拱墅区-三塘-皋亭人家,拱墅区,整租·皋亭人家 2室1厅 南,https://hz.lianjia.com/zufang/HZ2102691456010420224.html,55.00㎡,南,2室1厅1卫,3200,精装,,"https://image1.ljcdn.com/110000-inspection/pc1_U459vGbZa.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ2102691456010420224,2025/12/9 23:09
1945,杭州,拱墅区,仅剩1间,仅剩1间,独栋·华皙 新天地地铁站店 新天地宝藏房型 开间,https://hz.lianjia.com/apartment/43877.html,25.00㎡,1间在租,1室0厅1卫,2100,精装,华皙,https://image1.ljcdn.com/rent-user-avatar/7ea67783-ed9d-4ad1-9efd-410fc971ec73.250x182.jpg,405893,2025/12/9 23:09
1946,杭州,拱墅区,仅剩3间,仅剩3间,独栋·华皙 新天地地铁站店 地铁口精装平层公寓月付免押 1室1厅,https://hz.lianjia.com/apartment/43877.html,15.00㎡,3间在租,1室1厅1卫,1600,精装,华皙,https://image1.ljcdn.com/wanjia/05e848217158ccb562bc3fed2b5403fe-1755320762838/6ad4c5a558f950ed3a72e8d0ea27416c.jpg.250x182.jpg,819338,2025/12/9 23:09
1947,杭州,拱墅区,拱墅区-体育场路-体育场路71-176号,拱墅区,整租·体育场路71-176号 2室1厅 南,https://hz.lianjia.com/zufang/HZ2100097346867036160.html,58.00㎡,南,2室1厅1卫,3420,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=2025120112060559d,HZ2100097346867036160,2025/12/9 23:09
1948,杭州,拱墅区,仅剩1间,仅剩1间,独栋·魔方公寓 教工路店 拱墅信义坊 地铁10号线 精装一室 高性价比 开间,https://hz.lianjia.com/apartment/45897.html,10.00㎡,1间在租,1室0厅1卫,1100,精装,魔方公寓,https://image1.ljcdn.com/wanjia/47c04c4760e31de2f4098f8d6c6201de-1698831941836/c8360d1546e494162292187785b9aa37.jpg.250x182.jpg,604753,2025/12/9 23:09
1949,杭州,拱墅区,拱墅区-三里亭-三里家园二区,拱墅区,整租·三里家园二区 3室1厅 东,https://hz.lianjia.com/zufang/HZ2102741078728769536.html,129.68㎡,东,3室1厅2卫,4500,,链家,"https://image1.ljcdn.com/110000-inspection/pc1_ERV9pLHWp_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ2102741078728769536,2025/12/9 23:09
1950,杭州,拱墅区,仅剩2间,仅剩2间,独栋·魔方公寓 教工路店 公共洗衣机，经济小户型 开间,https://hz.lianjia.com/apartment/45897.html,10.00-12.00㎡,2间在租,1室0厅1卫,1100-1200,精装,魔方公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,601300,2025/12/9 23:09
1951,杭州,拱墅区,拱墅区-和睦-大关公寓,拱墅区,合租·大关公寓 5居室 南卧,https://hz.lianjia.com/zufang/HZ2099815810942894080.html,15.00㎡,南,5室1厅2卫,1500,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2099815810942894080,2025/12/9 23:09
1952,杭州,拱墅区,拱墅区-石桥-石桥铭苑,拱墅区,合租·石桥铭苑 3居室 东南卧,https://hz.lianjia.com/zufang/HZ2100113670108348416.html,90.00㎡,东南,3室2厅2卫,4600,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2100113670108348416,2025/12/9 23:09
1953,杭州,拱墅区,拱墅区-流水苑-绿洲花园,拱墅区,整租·绿洲花园 1室1厅 南,https://hz.lianjia.com/zufang/HZ2102726585323880448.html,59.00㎡,南,1室1厅1卫,3700,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2102726585323880448,2025/12/9 23:09
1954,杭州,拱墅区,拱墅区-申花-欣盛东方福邸,拱墅区,整租·欣盛东方福邸 2室2厅 东南,https://hz.lianjia.com/zufang/HZ2103048608709345280.html,89.00㎡,东南,2室2厅1卫,6300,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2103048608709345280,2025/12/9 23:09
1955,杭州,拱墅区,拱墅区-石桥-永佳新苑,拱墅区,整租·永佳新苑 1室1厅 东南,https://hz.lianjia.com/zufang/HZ2100173514739810304.html,65.00㎡,东南,1室1厅1卫,3700,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2100173514739810304,2025/12/9 23:09
1956,杭州,拱墅区,拱墅区-朝晖-东新关,拱墅区,整租·东新关 2室1厅 南,https://hz.lianjia.com/zufang/HZ2102980541052616704.html,63.00㎡,南,2室1厅1卫,2500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2102980541052616704,2025/12/9 23:09
1957,杭州,拱墅区,拱墅区-桥西-渡驾新村,拱墅区,合租·渡驾新村 2居室 南卧,https://hz.lianjia.com/zufang/HZ2102971646074683392.html,25.00㎡,南,2室1厅1卫,1700,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2102971646074683392,2025/12/9 23:09
1958,杭州,拱墅区,拱墅区-石桥-怡乐银座,拱墅区,整租·怡乐银座 4室2厅 南,https://hz.lianjia.com/zufang/HZ2102984239799599104.html,120.00㎡,南,4室2厅2卫,5300,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2102984239799599104,2025/12/9 23:09
1959,杭州,拱墅区,拱墅区-石桥-田逸之星,拱墅区,整租·田逸之星 1室1厅 南,https://hz.lianjia.com/zufang/HZ2100255580785475584.html,3444.87㎡,南,1室1厅1卫,2200,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2100255580785475584,2025/12/9 23:09
1960,杭州,拱墅区,拱墅区-石桥-田逸之星,拱墅区,整租·田逸之星 1室1厅 西,https://hz.lianjia.com/zufang/HZ2100258750056103936.html,3444.87㎡,西,1室1厅1卫,2000,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2100258750056103936,2025/12/9 23:09
1961,杭州,拱墅区,仅剩1间,仅剩1间,独栋·华皙 丰庆店 阳光好温暖整个冬天 1室1厅,https://hz.lianjia.com/apartment/48247.html,30.00㎡,1间在租,1室1厅1卫,2100,精装,华皙,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,716086,2025/12/9 23:09
1962,杭州,拱墅区,拱墅区-信义坊-湖墅新村,拱墅区,整租·湖墅新村 1室1厅 南,https://hz.lianjia.com/zufang/HZ2103043135247482880.html,31.00㎡,南,1室1厅1卫,2200,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2103043135247482880,2025/12/9 23:09
1963,杭州,拱墅区,拱墅区-三塘-长德公寓,拱墅区,整租·长德公寓 3室2厅 南/北,https://hz.lianjia.com/zufang/HZ2100181095776518144.html,103.00㎡,南 北,3室2厅2卫,3200,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2100181095776518144,2025/12/9 23:09
1964,杭州,拱墅区,仅剩1间,仅剩1间,独栋·华皙 丰庆店 无中介费免押金整租 1室1厅,https://hz.lianjia.com/apartment/48247.html,30.00㎡,1间在租,1室1厅1卫,2100,精装,华皙,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,716073,2025/12/9 23:09
1965,杭州,拱墅区,拱墅区-湖墅-密渡桥路2号,拱墅区,整租·密渡桥路2号 2室1厅 南/北,https://hz.lianjia.com/zufang/HZ2102990436397219840.html,49.44㎡,南 北,2室1厅1卫,3900,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2102990436397219840,2025/12/9 23:09
1966,杭州,拱墅区,拱墅区-大关-三塘人家,拱墅区,合租·三塘人家 2居室 北卧,https://hz.lianjia.com/zufang/HZ2102999614331289600.html,60.10㎡,北,2室1厅1卫,2600,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2102999614331289600,2025/12/9 23:09
1967,杭州,拱墅区,拱墅区-流水苑-河罕上,拱墅区,整租·河罕上 2室1厅 南,https://hz.lianjia.com/zufang/HZ2100455560146059264.html,40.00㎡,南,2室1厅1卫,3000,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2100455560146059264,2025/12/9 23:09
1968,杭州,拱墅区,拱墅区-湖墅-沈塘铭苑,拱墅区,整租·沈塘铭苑 1室1厅 南,https://hz.lianjia.com/zufang/HZ2100453760550567936.html,42.30㎡,南,1室1厅1卫,2625,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2100453760550567936,2025/12/9 23:09
1969,杭州,拱墅区,拱墅区-运河新城-宸文苑,拱墅区,合租·宸文苑 3居室 北卧,https://hz.lianjia.com/zufang/HZ2103029317893095424.html,30.00㎡,北,3室0厅1卫,1450,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2103029317893095424,2025/12/9 23:09
1970,杭州,拱墅区,拱墅区-拱宸桥-远洋公馆绿园,拱墅区,整租·远洋公馆绿园 3室2厅 南,https://hz.lianjia.com/zufang/HZ2102987176261189632.html,146.00㎡,南,3室2厅2卫,13000,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2102987176261189632,2025/12/9 23:09
1971,杭州,拱墅区,仅剩2间,仅剩2间,独栋·哲寓 中交财富中心店 中交财富大厦loft58方朝南户型在租 2室1厅,https://hz.lianjia.com/apartment/90540.html,58.00-64.00㎡,2间在租,2室1厅1卫,3600-4000,精装,哲寓,https://image1.ljcdn.com/wanjia/93ce85ee450b14bc216a9133ff5dbaab-1755829954588/0d3751e1f916908d21516ab13d83268f.jpg.250x182.jpg,821759,2025/12/9 23:10
1972,杭州,拱墅区,仅剩1间,仅剩1间,独栋·哲寓 汉港武林汇店 汉港武林汇全新整租平层一室 1室1厅,https://hz.lianjia.com/apartment/90535.html,45.00㎡,1间在租,1室1厅1卫,3000,精装,哲寓,https://image1.ljcdn.com/wanjia/93ce85ee450b14bc216a9133ff5dbaab-1762251051482/146844bcccd9c361153af727f32b167c.jpg.250x182.jpg,854295,2025/12/9 23:10
1973,杭州,拱墅区,拱墅区-建国北路-艮园社区,拱墅区,整租·艮园社区 2室2厅 南,https://hz.lianjia.com/zufang/HZ2105196175228403712.html,63.90㎡,南,2室2厅1卫,4100,,,"https://image1.ljcdn.com/110000-inspection/pc1_kkrfCnFoU_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ2105196175228403712,2025/12/9 23:10
1974,杭州,拱墅区,拱墅区-拱宸桥-宸铭府西区,拱墅区,整租·宸铭府西区 2室1厅 南,https://hz.lianjia.com/zufang/HZ2103061971371819008.html,65.00㎡,南,2室1厅1卫,4000,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2103061971371819008,2025/12/9 23:10
1975,杭州,拱墅区,仅剩2间,仅剩2间,独栋·哲寓 中交财富中心店 大悦城城西银泰边套精装修三房中交财富大厦 3室2厅,https://hz.lianjia.com/apartment/90540.html,99.00㎡,2间在租,3室2厅1卫,6000-6500,精装,哲寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,819671,2025/12/9 23:10
1976,杭州,拱墅区,仅剩2间,仅剩2间,独栋·哲寓 中交财富中心店 中交财富中心边套三室稀缺户型 3室2厅,https://hz.lianjia.com/apartment/90540.html,100.00㎡,2间在租,3室2厅1卫,6300-6600,精装,哲寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,765168,2025/12/9 23:10
1977,杭州,拱墅区,仅剩1间,仅剩1间,独栋·光明家园 树人大学店 暖居钜惠 地铁边省心租可月付品质ins奶白风 小仙女首选 1室1厅,https://hz.lianjia.com/apartment/86389.html,40.00㎡,1间在租,1室1厅1卫,2500,精装,光明家园,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,739029,2025/12/9 23:10
1978,杭州,拱墅区,拱墅区-申花-方家花苑,拱墅区,整租·方家花苑 3室1厅 南,https://hz.lianjia.com/zufang/HZ2103065285257854976.html,74.00㎡,南,3室1厅1卫,3800,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2103065285257854976,2025/12/9 23:10
1979,杭州,拱墅区,拱墅区-潮鸣-米兰公寓,拱墅区,合租·米兰公寓 4居室 北卧,https://hz.lianjia.com/zufang/HZ2105242794489544704.html,15.00㎡,北,4室2厅2卫,1200,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105242794489544704,2025/12/9 23:10
1980,杭州,拱墅区,拱墅区-朝晖-朝晖一区,拱墅区,整租·朝晖一区 1室1厅 北,https://hz.lianjia.com/zufang/HZ2105168508760358912.html,75.00㎡,北,1室1厅1卫,2500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105168508760358912,2025/12/9 23:10
1981,杭州,拱墅区,仅剩4间,仅剩4间,"独栋·墅居 新天地店 【全屋智能】精装修品质公寓独门独户,半年起租，短租不接！ 1室1厅",https://hz.lianjia.com/apartment/87315.html,43.00-60.00㎡,4间在租,1室1厅1卫,2550-2888,精装,墅居,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,832367,2025/12/9 23:10
1982,杭州,拱墅区,拱墅区-石桥-泰地北上新城,拱墅区,合租·泰地北上新城 3居室 南卧,https://hz.lianjia.com/zufang/HZ2105332824839028736.html,28.00㎡,南,3室2厅1卫,1650,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105332824839028736,2025/12/9 23:10
1983,杭州,拱墅区,拱墅区-三塘-水印康庭,拱墅区,合租·水印康庭 5居室 东北卧,https://hz.lianjia.com/zufang/HZ2105161206611312640.html,11.00㎡,东北,5室1厅2卫,1000,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105161206611312640,2025/12/9 23:10
1984,杭州,拱墅区,拱墅区-拱宸桥-紫荆家园,拱墅区,整租·紫荆家园 3室2厅 南,https://hz.lianjia.com/zufang/HZ2105508576712720384.html,135.90㎡,南,3室2厅2卫,5000,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105508576712720384,2025/12/9 23:10
1985,杭州,拱墅区,拱墅区-运河新城-金昌苑,拱墅区,整租·金昌苑 2室1厅 南,https://hz.lianjia.com/zufang/HZ2105225096049197056.html,64.00㎡,南,2室1厅1卫,2800,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105225096049197056,2025/12/9 23:10
1986,杭州,拱墅区,拱墅区-和睦-庆隆苑一区,拱墅区,整租·庆隆苑一区 3室2厅 南,https://hz.lianjia.com/zufang/HZ2105509347386720256.html,109.00㎡,南,3室2厅2卫,5500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105509347386720256,2025/12/9 23:10
1987,杭州,拱墅区,拱墅区-石桥-华丰欣苑,拱墅区,合租·华丰欣苑 3居室 南卧,https://hz.lianjia.com/zufang/HZ2105548248134451200.html,55.00㎡,南,3室2厅2卫,3300,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105548248134451200,2025/12/9 23:10
1988,杭州,拱墅区,仅剩1间,仅剩1间,独栋·拾光公寓（杭州） 中大银泰店 朝东两室大边套 可办公可住家 85方大面积 2室1厅,https://hz.lianjia.com/apartment/89562.html,85.00㎡,1间在租,2室1厅1卫,3600,精装,拾光公寓（杭州）,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,839949,2025/12/9 23:10
1989,杭州,拱墅区,拱墅区-拱宸桥-锦昌文华苑,拱墅区,合租·锦昌文华苑 5居室 南卧,https://hz.lianjia.com/zufang/HZ2105601500414738432.html,25.00㎡,南,5室1厅2卫,1000,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105601500414738432,2025/12/9 23:10
1990,杭州,拱墅区,拱墅区-拱宸桥-宸铭府西区,拱墅区,整租·宸铭府西区 3室1厅 南,https://hz.lianjia.com/zufang/HZ2105495816939503616.html,80.00㎡,南,3室1厅1卫,4600,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105495816939503616,2025/12/9 23:10
1991,杭州,拱墅区,拱墅区-和睦-星瓒颂锦府,拱墅区,整租·星瓒颂锦府 3室2厅 南,https://hz.lianjia.com/zufang/HZ2103329724682993664.html,105.00㎡,南,3室2厅2卫,8500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2103329724682993664,2025/12/9 23:10
1992,杭州,拱墅区,仅剩4间,仅剩4间,独栋·拾光公寓（杭州） 中大银泰店 loft两室 无中介费 可办公可住家可注册 2室1厅,https://hz.lianjia.com/apartment/89562.html,55.00㎡,4间在租,2室1厅1卫,3100,精装,拾光公寓（杭州）,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,762323,2025/12/9 23:10
