序号,标题,链接,区域,区域分类,面积,朝向,房间信息,价格(元/月),标签,品牌,图片链接,房源编码,抓取时间
921,整租·首开国风美唐一期 1室1厅 东,https://bj.lianjia.com/zufang/BJ1816823909966675968.html,昌平-回龙观-首开国风美唐一期,昌平,47.09㎡,东,1室1厅1卫,5330,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1816823909966675968,2025/12/8 20:49
922,整租·加州水郡四期 2室1厅 西南,https://bj.lianjia.com/zufang/BJ1959150677053669376.html,房山-长阳-加州水郡四期,房山,87.00㎡,西南,2室1厅1卫,3000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1959150677053669376,2025/12/8 20:49
923,整租·沿海赛洛城一期 2室2厅 南/北,https://bj.lianjia.com/zufang/BJ1958852274906202112.html,朝阳-百子湾-沿海赛洛城一期,朝阳,118.00㎡,南 北,2室2厅2卫,7000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1958852274906202112,2025/12/8 20:49
924,整租·富力丹麦小镇A区 6室2厅 跃层 南/北,https://bj.lianjia.com/zufang/BJ1959167199075631104.html,大兴-大兴新机场-富力丹麦小镇A区,大兴,406.50㎡,南 北,6室2厅3卫,16000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1959167199075631104,2025/12/8 20:49
925,整租·鲁能7号院颐景润园 3室2厅 南/北,https://bj.lianjia.com/zufang/BJ1955488421996658688.html,顺义-马坡-鲁能7号院颐景润园,顺义,142.45㎡,南 北,3室2厅2卫,6000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1955488421996658688,2025/12/8 20:49
926,整租·槐树岭2号院 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1955535350373810176.html,丰台-丰台其它-槐树岭2号院,丰台,54.00㎡,南 北,2室1厅1卫,2500,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1955535350373810176,2025/12/8 20:49
927,整租·尚城 3房间 南,https://bj.lianjia.com/zufang/BJ1955576594055561216.html,昌平-回龙观-尚城,昌平,48.19㎡,南,3房间1卫,3600,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1955576594055561216,2025/12/8 20:49
928,整租·瑞雪春堂 1室1厅 东/北,https://bj.lianjia.com/zufang/BJ1955551780687314944.html,房山-良乡-瑞雪春堂,房山,69.06㎡,东 北,1室1厅1卫,2600,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1955551780687314944,2025/12/8 20:49
929,整租·富海中心 8室1厅 西北,https://bj.lianjia.com/zufang/BJ1955223783337885696.html,海淀-白石桥-富海中心,海淀,508.54㎡,西北,8室1厅1卫,60000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1955223783337885696,2025/12/8 20:49
930,整租·富海中心 6室1厅 西,https://bj.lianjia.com/zufang/BJ1955223487937249280.html,海淀-白石桥-富海中心,海淀,263.66㎡,西,6室1厅1卫,31000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1955223487937249280,2025/12/8 20:49
931,整租·洋桥西里 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1956653130829529088.html,丰台-洋桥-洋桥西里,丰台,53.29㎡,南 北,2室1厅1卫,4800,官方核验,链家,"https://image1.ljcdn.com/110000-inspection/pc1_gBz3gWqqh.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1956653130829529088,2025/12/8 20:50
932,整租·汽北小区 1室1厅 南,https://bj.lianjia.com/zufang/BJ1956943696674947072.html,西城-木樨地-汽北小区,西城,55.50㎡,南,1室1厅1卫,10000,官方核验 | 精装,链家,"https://image1.ljcdn.com/110000-inspection/pc1_fZzmbBTk9.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1956943696674947072,2025/12/8 20:50
933,整租·玺源台 1室1厅 东,https://bj.lianjia.com/zufang/BJ1957662029430915072.html,西城-广安门-玺源台,西城,60.11㎡,东,1室1厅1卫,7800,官方核验 | 精装,链家,"https://image1.ljcdn.com/110000-inspection/pc1_jtKegQcFq.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1957662029430915072,2025/12/8 20:50
934,整租·国锐金嵿 4房间 南/北,https://bj.lianjia.com/zufang/BJ1957718865383260160.html,北京经济技术开发区-亦庄-国锐金嵿,北京经济技术开发区,213.61㎡,南 北,4房间3卫,15300,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=2025120112060559d,BJ1957718865383260160,2025/12/8 20:50
935,整租·小中富乐二区 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ1957691361524187136.html,怀柔-怀柔-小中富乐二区,怀柔,85.26㎡,南 北,3室1厅1卫,2400,官方核验,链家,"https://image1.ljcdn.com/110000-inspection/pc1_oDSxWwRJJ.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1957691361524187136,2025/12/8 20:50
936,整租·顺悦家园 2室1厅 南,https://bj.lianjia.com/zufang/BJ1957374608122314752.html,顺义-马坡-顺悦家园,顺义,64.69㎡,南,2室1厅1卫,2700,官方核验,链家,"https://image1.ljcdn.com/110000-inspection/pc1_eiylYpsVU.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1957374608122314752,2025/12/8 20:50
937,整租·丰益花园西区 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1958792447072927744.html,丰台-丽泽-丰益花园西区,丰台,89.66㎡,南 北,2室1厅1卫,5800,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1958792447072927744,2025/12/8 20:50
938,整租·南三环中路 2室1厅 南,https://bj.lianjia.com/zufang/BJ1819749068289605632.html,精选,精选,丰台-刘家窑-南三环中路,61.50㎡,南,5690,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1819749068289605632,2025/12/8 20:50
939,整租·澳林春天三期 4室3厅 复式 南/北,https://bj.lianjia.com/zufang/BJ1958457151022170112.html,朝阳-奥林匹克公园-澳林春天三期,朝阳,184.15㎡,南 北,4室3厅3卫,11500,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1958457151022170112,2025/12/8 20:50
940,整租·龙湖蔚澜香醍 4室3厅 南/北,https://bj.lianjia.com/zufang/BJ1958395992373985280.html,通州-九棵树(家乐福)-龙湖蔚澜香醍,通州,289.92㎡,南 北,4室3厅2卫,11000,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1958395992373985280,2025/12/8 20:50
941,整租·金兴苑 3室1厅 北,https://bj.lianjia.com/zufang/BJ1820708003968450560.html,精选,精选,丰台-菜户营-金兴苑,126.46㎡,北,11290,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1820708003968450560,2025/12/8 20:50
942,整租·白檀小区 2室2厅 南/北,https://bj.lianjia.com/zufang/BJ1958030821323440128.html,密云-鼓楼街道-白檀小区,密云,73.13㎡,南 北,2室2厅1卫,1500,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1958030821323440128,2025/12/8 20:50
943,整租·天瑞宸章 3室1厅 南,https://bj.lianjia.com/zufang/BJ1957813513275572224.html,朝阳-中央别墅区-天瑞宸章,朝阳,200.00㎡,南,3室1厅3卫,17000,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1957813513275572224,2025/12/8 20:50
944,整租·海格国际 1室1厅 东南,https://bj.lianjia.com/zufang/BJ1958120342157262848.html,西城-宣武门-海格国际,西城,128.34㎡,东南,1室1厅1卫,24400,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1958120342157262848,2025/12/8 20:50
945,整租·双清路4号院 1室1厅 南,https://bj.lianjia.com/zufang/BJ1821190283405033472.html,精选,精选,海淀-学院路-双清路4号院,58.91㎡,南,7260,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1821190283405033472,2025/12/8 20:50
946,整租·北亚花园 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1959119312228712448.html,昌平-北七家-北亚花园,昌平,129.00㎡,南 北,2室1厅1卫,4300,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1959119312228712448,2025/12/8 20:50
947,整租·路劲世界城二期 2房间 南,https://bj.lianjia.com/zufang/BJ1959120266516758528.html,昌平-南邵-路劲世界城二期,昌平,54.93㎡,南,2房间1卫,4000,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1959120266516758528,2025/12/8 20:50
948,整租·御槐园 2室1厅 南,https://bj.lianjia.com/zufang/BJ1820465842769362944.html,丰台-新宫-御槐园,丰台,77.92㎡,南,2室1厅1卫,5990,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1820465842769362944,2025/12/8 20:50
949,整租·林肯公园 6房间 西北,https://bj.lianjia.com/zufang/BJ1955530671451537408.html,北京经济技术开发区-亦庄-林肯公园,北京经济技术开发区,219.86㎡,西北,6房间3卫,15600,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1955530671451537408,2025/12/8 20:50
950,整租·合生me悦北区 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ1955590126671233024.html,大兴-瀛海-合生me悦北区,大兴,96.00㎡,南 北,3室1厅1卫,9500,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1955590126671233024,2025/12/8 20:50
951,整租·熙兆大厦 2房间 复式 南,https://bj.lianjia.com/zufang/BJ1955210795457445888.html,大兴-天宫院-熙兆大厦,大兴,46.76㎡,南,2房间1卫,3300,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1955210795457445888,2025/12/8 20:50
952,整租·育芳园 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1955185063775698944.html,丰台-玉泉营-育芳园,丰台,60.00㎡,南 北,2室1厅1卫,4400,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1955185063775698944,2025/12/8 20:50
953,整租·世爵源墅 6室3厅 南/北,https://bj.lianjia.com/zufang/BJ1954881011879772160.html,通州-九棵树(家乐福)-世爵源墅,通州,336.18㎡,南 北,6室3厅3卫,16000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1954881011879772160,2025/12/8 20:50
954,整租·天行建商务大厦 1室0厅 南,https://bj.lianjia.com/zufang/BJ1956293363678314496.html,海淀-公主坟-天行建商务大厦,海淀,164.50㎡,南,1室0厅0卫,21800,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1956293363678314496,2025/12/8 20:50
955,整租·光熙门北里 1室1厅 南,https://bj.lianjia.com/zufang/BJ1820912241633918976.html,朝阳-西坝河-光熙门北里,朝阳,42.43㎡,南,1室1厅1卫,5530,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1820912241633918976,2025/12/8 20:50
956,整租·青岛嘉园 4室2厅 南/北,https://bj.lianjia.com/zufang/BJ1955992585717678080.html,大兴-高米店-青岛嘉园,大兴,224.43㎡,南 北,4室2厅3卫,12500,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1955992585717678080,2025/12/8 20:50
957,整租·万科天竺悦城 3室2厅 南/北,https://bj.lianjia.com/zufang/BJ1955935169038778368.html,顺义-中央别墅区-万科天竺悦城,顺义,122.01㎡,南 北,3室2厅2卫,10000,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1955935169038778368,2025/12/8 20:50
958,整租·澳景园 6室3厅 复式 东南/南/北,https://bj.lianjia.com/zufang/BJ1957026492886024192.html,顺义-中央别墅区-澳景园,顺义,500.00㎡,东南 南 北,6室3厅5卫,80000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1957026492886024192,2025/12/8 20:50
959,整租·亿朋苑三区 2室1厅 南,https://bj.lianjia.com/zufang/BJ1821077343712575488.html,丰台-玉泉营-亿朋苑三区,丰台,70.46㎡,南,2室1厅1卫,6013,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1821077343712575488,2025/12/8 20:50
960,整租·广安康馨家园北区 2室1厅 南,https://bj.lianjia.com/zufang/BJ1957043187184828416.html,丰台-青塔-广安康馨家园北区,丰台,72.34㎡,南,2室1厅1卫,4200,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1957043187184828416,2025/12/8 20:50
961,整租·原香小镇二区 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ2049331775670321152.html,房山-长阳-原香小镇二区,房山,74.27㎡,南 北,2室1厅1卫,2900,官方核验 | 精装,链家,"https://image1.ljcdn.com/110000-inspection/pc1_uuw10e8AM_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ2049331775670321152,2025/12/8 20:51
962,整租·京旺家园 2室1厅 南,https://bj.lianjia.com/zufang/BJ1774708571322187776.html,精选,精选,朝阳-中央别墅区-京旺家园,82.51㎡,南,5290,精装,自如,https://image1.ljcdn.com/rent-house-1/img/2b659455896a8fbc9fd92302ea46835f-1761219422291/5ee110e199f4bced26e699868e2b0326.jpg.250x182.jpg,BJ1774708571322187776,2025/12/8 20:51
963,整租·启迪香山 2房间 东,https://bj.lianjia.com/zufang/BJ2049336220768534528.html,石景山-苹果园-启迪香山,石景山,48.00㎡,东,2房间1卫,6400,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=2025120112060559d,BJ2049336220768534528,2025/12/8 20:51
964,整租·中海丽春湖墅 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ2049344623679111168.html,昌平-沙河-中海丽春湖墅,昌平,89.19㎡,南 北,3室1厅1卫,5400,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2049344623679111168,2025/12/8 20:51
965,整租·长河玉墅 5室2厅 南/北,https://bj.lianjia.com/zufang/BJ2049359489789853696.html,昌平-北七家-长河玉墅,昌平,421.32㎡,南 北,5室2厅3卫,21800,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2049359489789853696,2025/12/8 20:51
966,整租·月坛北街 2室1厅 南,https://bj.lianjia.com/zufang/BJ2049354918208208896.html,西城-月坛-月坛北街,西城,68.90㎡,南,2室1厅1卫,9200,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2049354918208208896,2025/12/8 20:51
967,整租·永乐西区 1室1厅 南/北,https://bj.lianjia.com/zufang/BJ2049352952774131712.html,石景山-鲁谷-永乐西区,石景山,45.00㎡,南 北,1室1厅1卫,3200,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2049352952774131712,2025/12/8 20:51
968,整租·永乐西区 1室1厅 南,https://bj.lianjia.com/zufang/BJ1753847415749738496.html,精选,精选,石景山-鲁谷-永乐西区,43.91㎡,南,4990,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1753847415749738496,2025/12/8 20:51
969,整租·西马庄园 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ2049356357299077120.html,通州-通州北苑-西马庄园,通州,93.39㎡,南 北,3室1厅1卫,4000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2049356357299077120,2025/12/8 20:51
970,整租·香悦四季西区 2房间 东,https://bj.lianjia.com/zufang/BJ1772765890836692992.html,精选,精选,顺义-马坡-香悦四季西区,32.27㎡,东,2760,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1772765890836692992,2025/12/8 20:51
971,整租·劲松九区 2室1厅 南,https://bj.lianjia.com/zufang/BJ1753773255505739776.html,朝阳-劲松-劲松九区,朝阳,47.49㎡,南,2室1厅1卫,5560,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1753773255505739776,2025/12/8 20:51
972,整租·三里屯SOHO 3室1厅 西南,https://bj.lianjia.com/zufang/BJ2049396272430841856.html,朝阳-三里屯-三里屯SOHO,朝阳,209.37㎡,西南,3室1厅4卫,28500,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2049396272430841856,2025/12/8 20:51
973,整租·百朗园 4室2厅 东/南,https://bj.lianjia.com/zufang/BJ2049395170012561408.html,海淀-五棵松-百朗园,海淀,140.00㎡,东 南,4室2厅2卫,17000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2049395170012561408,2025/12/8 20:51
974,整租·新街口西里一区 2室1厅 西,https://bj.lianjia.com/zufang/BJ1762622621037363200.html,西城-新街口-新街口西里一区,西城,59.70㎡,西,2室1厅1卫,9260,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1762622621037363200,2025/12/8 20:51
975,整租·拾景名苑 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ2048653750502948864.html,石景山-八角-拾景名苑,石景山,89.00㎡,南 北,3室1厅1卫,5800,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2048653750502948864,2025/12/8 20:51
976,整租·阜成门南大街 2室1厅 东北,https://bj.lianjia.com/zufang/BJ2048654869396455424.html,西城-月坛-阜成门南大街,西城,59.00㎡,东北,2室1厅1卫,8600,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2048654869396455424,2025/12/8 20:51
977,整租·康乐里小区 2室1厅 西北,https://bj.lianjia.com/zufang/BJ2048651211116118016.html,西城-长椿街-康乐里小区,西城,108.00㎡,西北,2室1厅1卫,16000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2048651211116118016,2025/12/8 20:51
978,整租·长安新城 2室2厅 南/北,https://bj.lianjia.com/zufang/BJ2048631323236499456.html,丰台-青塔-长安新城,丰台,97.00㎡,南 北,2室2厅1卫,6200,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2048631323236499456,2025/12/8 20:51
979,整租·广益大厦 1室0厅 西,https://bj.lianjia.com/zufang/BJ2048607292256944128.html,西城-长椿街-广益大厦,西城,50.76㎡,西,1室0厅1卫,5400,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2048607292256944128,2025/12/8 20:51
980,整租·燕西台 6室2厅 南/北,https://bj.lianjia.com/zufang/BJ2048755992585306112.html,海淀-西山-燕西台,海淀,322.00㎡,南 北,6室2厅4卫,55000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2048755992585306112,2025/12/8 20:51
981,整租·珠江拉维小镇 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ2048678096017555456.html,通州-潞苑-珠江拉维小镇,通州,95.00㎡,南 北,2室1厅1卫,4000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2048678096017555456,2025/12/8 20:51
982,整租·新城阳光 2室1厅 南,https://bj.lianjia.com/zufang/BJ1762623137863696384.html,通州-梨园-新城阳光,通州,81.47㎡,南,2室1厅1卫,4790,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1762623137863696384,2025/12/8 20:51
983,整租·清欣园 2室1厅 东/西,https://bj.lianjia.com/zufang/BJ2048758420848246784.html,大兴-旧宫-清欣园,大兴,72.00㎡,东 西,2室1厅1卫,3700,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2048758420848246784,2025/12/8 20:51
984,整租·自主城 2房间 跃层 东,https://bj.lianjia.com/zufang/BJ2048741875648561152.html,朝阳-小红门-自主城,朝阳,28.69㎡,东,2房间1卫,7500,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2048741875648561152,2025/12/8 20:51
985,整租·北街家园七区 2室1厅 东,https://bj.lianjia.com/zufang/BJ2048738359399940096.html,昌平-沙河-北街家园七区,昌平,67.58㎡,东,2室1厅1卫,3600,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2048738359399940096,2025/12/8 20:51
986,整租·水云居 2室1厅 东/南,https://bj.lianjia.com/zufang/BJ2048782906062536704.html,海淀-四季青-水云居,海淀,108.25㎡,东 南,2室1厅1卫,9500,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2048782906062536704,2025/12/8 20:51
987,整租·金丰园 2室1厅 西,https://bj.lianjia.com/zufang/BJ1769733433115803648.html,丰台-玉泉营-金丰园,丰台,104.99㎡,西,2室1厅1卫,5990,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1769733433115803648,2025/12/8 20:51
988,整租·光大花园 2室1厅 南,https://bj.lianjia.com/zufang/BJ2048720392591245312.html,海淀-万柳-光大花园,海淀,76.87㎡,南,2室1厅1卫,9500,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2048720392591245312,2025/12/8 20:51
989,整租·城市之光·东望 2室1厅 南,https://bj.lianjia.com/zufang/BJ2068375352337498112.html,通州-通州其它-城市之光·东望,通州,82.09㎡,南,2室1厅1卫,6290,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2068375352337498112,2025/12/8 20:51
990,整租·木樨地南里1号院 2室1厅 南,https://bj.lianjia.com/zufang/BJ2069284729575702528.html,西城-木樨地-木樨地南里1号院,西城,96.30㎡,南,2室1厅2卫,10190,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2069284729575702528,2025/12/8 20:51
991,整租·月亮城堡 1室1厅 东,https://bj.lianjia.com/zufang/BJ1962387924490125312.html,通州-武夷花园-月亮城堡,通州,58.18㎡,东,1室1厅1卫,3300,官方核验 | 精装,链家,"https://image1.ljcdn.com/110000-inspection/pc1_Gt6iFpYUp.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1962387924490125312,2025/12/8 20:51
992,整租·左家庄西街 2室1厅 东/西,https://bj.lianjia.com/zufang/BJ1963119030642409472.html,朝阳-国展-左家庄西街,朝阳,65.69㎡,东 西,2室1厅1卫,5500,官方核验 | 精装,链家,"https://image1.ljcdn.com/110000-inspection/7419377f-7b75-47b4-b385-b330dfc32b81_1000.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1963119030642409472,2025/12/8 20:51
993,整租·金隅创客 2房间 北,https://bj.lianjia.com/zufang/BJ1963179979864801280.html,通州-临河里-金隅创客,通州,55.00㎡,北,2房间1卫,2800,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=2025120112060559d,BJ1963179979864801280,2025/12/8 20:51
994,整租·稻田回迁楼北区 1室1厅 南,https://bj.lianjia.com/zufang/BJ2078939242746085376.html,精选,精选,房山-长阳-稻田回迁楼北区,55.20㎡,南,3730,精装,自如,https://image1.ljcdn.com/rent-house-1/img/2b659455896a8fbc9fd92302ea46835f-1763452478634/a402eff34eb869b2bb6cd0723217efd4.jpg.250x182.jpg,BJ2078939242746085376,2025/12/8 20:51
995,整租·怡馨园 2室1厅 西,https://bj.lianjia.com/zufang/BJ1959921201128144896.html,朝阳-双井-怡馨园,朝阳,110.00㎡,西,2室1厅1卫,8000,官方核验 | 精装,链家,"https://image1.ljcdn.com/110000-inspection/pc1_dFW50obMQ.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1959921201128144896,2025/12/8 20:51
996,整租·东花市北里中区 2室1厅 南,https://bj.lianjia.com/zufang/BJ2076590657928953856.html,东城-东花市-东花市北里中区,东城,105.30㎡,南,2室1厅1卫,9090,精装,自如,https://image1.ljcdn.com/rent-house-1/img/2b659455896a8fbc9fd92302ea46835f-1761195685837/7b4d6c579a41b332b1eaf13e256b71cb.jpg.250x182.jpg,BJ2076590657928953856,2025/12/8 20:51
997,整租·优山美地B区 5室3厅 复式 南/北,https://bj.lianjia.com/zufang/BJ1959533894176866304.html,顺义-中央别墅区-优山美地B区,顺义,790.00㎡,南 北,5室3厅6卫,149900,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1959533894176866304,2025/12/8 20:51
998,整租·七星园 1室1厅 西南,https://bj.lianjia.com/zufang/BJ1959522976923648000.html,石景山-鲁谷-七星园,石景山,52.00㎡,西南,1室1厅1卫,3500,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1959522976923648000,2025/12/8 20:51
